gt_uid,image_id,fold,source_group,coarse,class_name,category_id,gt_bbox_xyxy,gt_short_edge,size_bin,m3_proposal_uid,m3_score,m3_bbox_xyxy,iou
i3960-gt,3960,1,mar20-airport-proxy-034,aircraft,aircraft,8,"[191.0, 224.0, 279.0, 274.0]",50.0,small,m3-f1-i3960-p420901,0.9214,"[196.58, 225.84, 269.79, 268.72]",0.7135
i2925-gt,2925,2,mar20-airport-proxy-051,aircraft,aircraft,19,"[254.0, 191.0, 326.0, 298.0]",72.0,small,m3-f2-i2925-p280500,0.9209,"[243.41, 192.19, 328.47, 293.75]",0.8098
i3960-gt,3960,1,mar20-airport-proxy-034,aircraft,aircraft,8,"[489.0, 211.0, 569.0, 260.0]",49.0,small,m3-f1-i3960-p420902,0.9204,"[491.23, 212.36, 564.19, 254.07]",0.7764
i2725-gt,2725,2,mar20-airport-proxy-023,aircraft,aircraft,17,"[543.0, 549.0, 654.0, 658.0]",109.0,medium,m3-f2-i2725-p267303,0.9194,"[549.8, 552.29, 652.54, 656.3]",0.8831
i2558-gt,2558,2,mar20-airport-proxy-051,aircraft,aircraft,16,"[504.0, 42.0, 669.0, 157.0]",115.0,medium,m3-f2-i2558-p249005,0.9194,"[510.4, 42.68, 668.51, 152.83]",0.9179
i1548-gt,1548,2,mar20-airport-proxy-044,aircraft,aircraft,7,"[308.0, 495.0, 475.0, 642.0]",147.0,medium,m3-f2-i1548-p150604,0.9189,"[315.43, 494.29, 476.37, 638.53]",0.9213
i3960-gt,3960,1,mar20-airport-proxy-034,aircraft,aircraft,8,"[430.0, 492.0, 517.0, 547.0]",55.0,small,m3-f1-i3960-p420903,0.9189,"[431.35, 491.97, 507.23, 539.55]",0.7537
i3933-gt,3933,0,mar20-airport-proxy-047,aircraft,aircraft,11,"[133.0, 683.0, 190.0, 742.0]",57.0,small,m3-f0-i3933-p394502,0.9189,"[130.83, 680.35, 189.28, 744.65]",0.8736
i3960-gt,3960,1,mar20-airport-proxy-034,aircraft,aircraft,8,"[430.0, 147.0, 509.0, 199.0]",52.0,small,m3-f1-i3960-p420904,0.9185,"[432.38, 149.54, 504.25, 189.88]",0.7057
i2288-gt,2288,2,mar20-airport-proxy-023,aircraft,aircraft,14,"[106.0, 436.0, 227.0, 545.0]",109.0,medium,m3-f2-i2288-p221704,0.9185,"[112.21, 436.08, 223.73, 543.6]",0.9092
i2925-gt,2925,2,mar20-airport-proxy-051,aircraft,aircraft,19,"[710.0, 442.0, 784.0, 556.0]",74.0,small,m3-f2-i2925-p280501,0.918,"[707.89, 451.27, 791.33, 556.54]",0.8183
i3960-gt,3960,1,mar20-airport-proxy-034,aircraft,aircraft,8,"[557.0, 636.0, 644.0, 691.0]",55.0,small,m3-f1-i3960-p420905,0.918,"[559.23, 635.36, 637.36, 683.19]",0.7626
i3960-gt,3960,1,mar20-airport-proxy-034,aircraft,aircraft,8,"[370.0, 422.0, 459.0, 477.0]",55.0,small,m3-f1-i3960-p420906,0.918,"[372.17, 423.09, 446.17, 469.8]",0.7061
i3606-gt,3606,2,mar20-airport-proxy-056,aircraft,aircraft,8,"[635.0, 217.0, 751.0, 388.0]",116.0,medium,m3-f2-i3606-p350402,0.9175,"[635.21, 218.46, 754.64, 381.54]",0.9244
i2986-gt,2986,1,mar20-airport-proxy-011,aircraft,aircraft,4,"[276.0, 638.0, 322.0, 699.0]",46.0,small,m3-f1-i2986-p327311,0.917,"[274.74, 638.23, 322.91, 701.61]",0.9124
i3960-gt,3960,1,mar20-airport-proxy-034,aircraft,aircraft,8,"[673.0, 408.0, 756.0, 461.0]",53.0,small,m3-f1-i3960-p420907,0.917,"[671.87, 408.95, 745.74, 452.96]",0.7196
i2593-gt,2593,0,mar20-airport-proxy-033,aircraft,aircraft,19,"[344.0, 52.0, 427.0, 160.0]",83.0,small,m3-f0-i2593-p244200,0.917,"[345.7, 51.03, 423.05, 157.96]",0.9066
i2115-gt,2115,0,mar20-airport-proxy-022,aircraft,aircraft,4,"[233.0, 237.0, 287.0, 281.0]",44.0,small,m3-f0-i2115-p203701,0.9165,"[232.64, 237.29, 286.11, 284.58]",0.8986
i3960-gt,3960,1,mar20-airport-proxy-034,aircraft,aircraft,8,"[605.0, 339.0, 683.0, 391.0]",52.0,small,m3-f1-i3960-p420908,0.916,"[607.7, 338.96, 683.34, 385.14]",0.8527
i3960-gt,3960,1,mar20-airport-proxy-034,aircraft,aircraft,8,"[735.0, 476.0, 822.0, 530.0]",54.0,small,m3-f1-i3960-p420909,0.916,"[738.99, 477.77, 813.96, 522.77]",0.7181
i3184-gt,3184,1,mar20-airport-proxy-034,aircraft,aircraft,18,"[541.0, 42.0, 604.0, 116.0]",63.0,small,m3-f1-i3184-p351303,0.915,"[537.94, 39.82, 602.69, 116.24]",0.9048
i1709-gt,1709,2,mar20-airport-proxy-005,aircraft,aircraft,19,"[310.0, 108.0, 439.0, 213.0]",105.0,medium,m3-f2-i1709-p168900,0.915,"[313.04, 107.76, 457.28, 206.1]",0.8039
i3960-gt,3960,1,mar20-airport-proxy-034,aircraft,aircraft,8,"[620.0, 709.0, 707.0, 765.0]",56.0,small,m3-f1-i3960-p420910,0.9146,"[623.7, 707.77, 703.36, 760.01]",0.8174
i3300-gt,3300,2,mar20-airport-proxy-015,aircraft,aircraft,4,"[453.0, 188.0, 538.0, 292.0]",85.0,small,m3-f2-i3300-p316801,0.9146,"[451.93, 185.69, 531.67, 292.82]",0.8892
i2476-gt,2476,2,mar20-airport-proxy-015,aircraft,aircraft,22,"[284.0, 277.0, 413.0, 335.0]",58.0,small,m3-f2-i2476-p240001,0.9141,"[285.35, 273.24, 408.4, 340.82]",0.824
i2034-gt,2034,1,mar20-airport-proxy-043,aircraft,aircraft,23,"[323.0, 232.0, 384.0, 275.0]",43.0,small,m3-f1-i2034-p213600,0.9141,"[322.39, 230.64, 383.86, 275.22]",0.9529
i3933-gt,3933,0,mar20-airport-proxy-047,aircraft,aircraft,11,"[496.0, 51.0, 554.0, 108.0]",57.0,small,m3-f0-i3933-p394503,0.9136,"[495.0, 49.49, 552.66, 111.94]",0.8782
i2610-gt,2610,2,mar20-airport-proxy-015,aircraft,aircraft,4,"[117.0, 262.0, 187.0, 309.0]",47.0,small,m3-f2-i2610-p254715,0.9131,"[117.24, 264.56, 187.65, 308.09]",0.9152
i3874-gt,3874,0,mar20-airport-proxy-041,aircraft,aircraft,22,"[63.0, 13.0, 183.0, 119.0]",106.0,medium,m3-f0-i3874-p383405,0.9126,"[68.65, 12.89, 176.66, 112.7]",0.8457
i4160-gt,4160,2,mar20-airport-proxy-013,aircraft,aircraft,18,"[692.0, 259.0, 731.0, 314.0]",39.0,small,m3-f2-i4160-p372304,0.9121,"[689.36, 263.04, 727.32, 315.0]",0.7766
i3358-gt,3358,1,mar20-airport-proxy-043,aircraft,aircraft,23,"[317.0, 463.0, 408.0, 535.0]",72.0,small,m3-f1-i3358-p368702,0.9121,"[314.6, 462.08, 408.84, 535.57]",0.9461
i1829-gt,1829,1,mar20-airport-proxy-029,aircraft,aircraft,17,"[666.0, 178.0, 786.0, 301.0]",120.0,medium,m3-f1-i1829-p190801,0.9116,"[664.31, 183.4, 784.13, 300.59]",0.9255
i3960-gt,3960,1,mar20-airport-proxy-034,aircraft,aircraft,8,"[681.0, 772.0, 763.0, 828.0]",56.0,small,m3-f1-i3960-p420911,0.9116,"[680.57, 772.31, 760.41, 822.67]",0.8666
i3960-gt,3960,1,mar20-airport-proxy-034,aircraft,aircraft,8,"[546.0, 273.0, 625.0, 326.0]",53.0,small,m3-f1-i3960-p420912,0.9111,"[551.9, 277.17, 626.2, 320.54]",0.7479
i3959-gt,3959,1,mar20-airport-proxy-029,aircraft,aircraft,17,"[352.0, 399.0, 423.0, 479.0]",71.0,small,m3-f1-i3959-p420607,0.9111,"[350.77, 404.08, 421.52, 477.63]",0.8862
i2063-gt,2063,2,mar20-airport-proxy-056,aircraft,aircraft,8,"[254.0, 257.0, 489.0, 449.0]",192.0,medium,m3-f2-i2063-p201300,0.9111,"[253.61, 256.45, 486.62, 448.24]",0.9815
i4160-gt,4160,2,mar20-airport-proxy-013,aircraft,aircraft,18,"[666.0, 195.0, 707.0, 253.0]",41.0,small,m3-f2-i4160-p372307,0.9097,"[663.55, 194.7, 705.31, 249.7]",0.8517
i2409-gt,2409,2,mar20-airport-proxy-004,aircraft,aircraft,6,"[292.0, 273.0, 397.0, 375.0]",102.0,medium,m3-f2-i2409-p232208,0.9097,"[302.86, 281.3, 391.67, 371.83]",0.7507
i3960-gt,3960,1,mar20-airport-proxy-034,aircraft,aircraft,8,"[372.0, 90.0, 452.0, 137.0]",47.0,small,m3-f1-i3960-p420913,0.9097,"[372.72, 88.67, 449.03, 131.09]",0.812
i3409-gt,3409,0,mar20-airport-proxy-033,aircraft,aircraft,23,"[429.0, 302.0, 518.0, 418.0]",89.0,small,m3-f0-i3409-p317400,0.9092,"[419.43, 294.97, 525.88, 420.65]",0.7717
i3964-gt,3964,1,mar20-airport-proxy-034,aircraft,aircraft,16,"[468.0, 472.0, 544.0, 525.0]",53.0,small,m3-f1-i3964-p422100,0.9092,"[464.71, 471.22, 546.74, 527.58]",0.8712
i3960-gt,3960,1,mar20-airport-proxy-034,aircraft,aircraft,8,"[85.0, 103.0, 167.0, 150.0]",47.0,small,m3-f1-i3960-p420914,0.9082,"[85.22, 97.07, 156.85, 143.68]",0.681
i2718-gt,2718,0,mar20-airport-proxy-041,aircraft,aircraft,20,"[1.0, 121.0, 185.0, 320.0]",184.0,medium,m3-f0-i2718-p254701,0.9082,"[0.88, 134.38, 192.19, 323.05]",0.8859
i4336-gt,4336,1,mar20-airport-proxy-007,aircraft,aircraft,6,"[381.0, 406.0, 440.0, 465.0]",59.0,small,m3-f1-i4336-p472208,0.9077,"[377.69, 401.85, 439.62, 467.04]",0.8518
i4160-gt,4160,2,mar20-airport-proxy-013,aircraft,aircraft,18,"[744.0, 32.0, 796.0, 74.0]",42.0,small,m3-f2-i4160-p372311,0.9072,"[744.31, 34.44, 795.99, 71.57]",0.8786
i3279-gt,3279,0,mar20-airport-proxy-045,aircraft,aircraft,14,"[571.0, 557.0, 720.0, 700.0]",143.0,medium,m3-f0-i3279-p305703,0.9072,"[568.65, 559.81, 716.5, 704.25]",0.9162
i3149-gt,3149,1,mar20-airport-proxy-034,aircraft,aircraft,16,"[234.0, 239.0, 309.0, 309.0]",70.0,small,m3-f1-i3149-p348300,0.9062,"[233.74, 236.62, 310.01, 310.25]",0.9348
i3960-gt,3960,1,mar20-airport-proxy-034,aircraft,aircraft,8,"[859.0, 606.0, 947.0, 661.0]",55.0,small,m3-f1-i3960-p420915,0.9053,"[861.33, 606.78, 938.92, 653.06]",0.7418
i2610-gt,2610,2,mar20-airport-proxy-015,aircraft,aircraft,4,"[115.0, 310.0, 178.0, 356.0]",46.0,small,m3-f2-i2610-p254717,0.9048,"[113.99, 309.25, 178.98, 356.37]",0.9464
i1829-gt,1829,1,mar20-airport-proxy-029,aircraft,aircraft,17,"[337.0, 261.0, 454.0, 386.0]",117.0,medium,m3-f1-i1829-p190803,0.9048,"[333.01, 271.44, 452.93, 389.5]",0.8567
i3173-gt,3173,1,mar20-airport-proxy-057,aircraft,aircraft,19,"[528.0, 1.0, 615.0, 59.0]",58.0,small,m3-f1-i3173-p350406,0.9043,"[534.08, 2.22, 609.67, 55.4]",0.7965
i2829-gt,2829,0,mar20-airport-proxy-036,aircraft,aircraft,8,"[447.0, 78.0, 534.0, 154.0]",76.0,small,m3-f0-i2829-p266102,0.9043,"[451.44, 76.93, 533.72, 153.74]",0.93
i3960-gt,3960,1,mar20-airport-proxy-034,aircraft,aircraft,8,"[141.0, 163.0, 216.0, 213.0]",50.0,small,m3-f1-i3960-p420916,0.9033,"[142.0, 165.05, 215.08, 205.16]",0.7817
i3060-gt,3060,2,mar20-airport-proxy-013,aircraft,aircraft,18,"[76.0, 553.0, 232.0, 725.0]",156.0,medium,m3-f2-i3060-p292504,0.9033,"[82.03, 555.08, 229.69, 723.05]",0.9243
i1550-gt,1550,1,mar20-airport-proxy-034,aircraft,aircraft,16,"[654.0, 680.0, 756.0, 766.0]",86.0,small,m3-f1-i1550-p160801,0.9019,"[652.29, 679.79, 758.64, 754.59]",0.8343
i2925-gt,2925,2,mar20-airport-proxy-051,aircraft,aircraft,19,"[102.0, 98.0, 186.0, 193.0]",84.0,small,m3-f2-i2925-p280504,0.9014,"[99.68, 100.2, 184.3, 192.19]",0.9241
i3467-gt,3467,0,mar20-airport-proxy-036,aircraft,aircraft,8,"[598.0, 424.0, 704.0, 501.0]",77.0,small,m3-f0-i3467-p322502,0.9014,"[606.08, 432.76, 704.08, 500.83]",0.8161
i1997-gt,1997,0,mar20-airport-proxy-018,aircraft,aircraft,9,"[460.0, 364.0, 535.0, 437.0]",73.0,small,m3-f0-i1997-p193800,0.9009,"[455.52, 359.25, 536.67, 447.78]",0.7621
i3834-gt,3834,0,mar20-airport-proxy-032,aircraft,aircraft,8,"[268.0, 193.0, 410.0, 316.0]",123.0,medium,m3-f0-i3834-p375300,0.9004,"[262.49, 191.97, 410.15, 311.14]",0.9174
i1651-gt,1651,2,mar20-airport-proxy-021,aircraft,aircraft,20,"[14.0, 502.0, 129.0, 608.0]",106.0,medium,m3-f2-i1651-p162902,0.9004,"[13.87, 500.49, 130.27, 608.89]",0.9661
i1709-gt,1709,2,mar20-airport-proxy-005,aircraft,aircraft,19,"[249.0, 450.0, 377.0, 539.0]",89.0,small,m3-f2-i1709-p168902,0.8999,"[256.35, 443.77, 389.36, 535.91]",0.7805
i1786-gt,1786,1,mar20-airport-proxy-057,aircraft,aircraft,19,"[68.0, 368.0, 165.0, 436.0]",68.0,small,m3-f1-i1786-p185703,0.8994,"[62.33, 368.87, 159.35, 431.91]",0.8281
i4160-gt,4160,2,mar20-airport-proxy-013,aircraft,aircraft,18,"[793.0, 155.0, 845.0, 197.0]",42.0,small,m3-f2-i4160-p372315,0.8989,"[791.07, 159.74, 844.88, 197.49]",0.8468
i4160-gt,4160,2,mar20-airport-proxy-013,aircraft,aircraft,18,"[413.0, 221.0, 467.0, 262.0]",41.0,small,m3-f2-i4160-p372314,0.8989,"[413.12, 223.34, 465.76, 261.36]",0.9041
i4199-gt,4199,2,mar20-airport-proxy-015,aircraft,aircraft,4,"[534.0, 388.0, 631.0, 529.0]",97.0,medium,m3-f2-i4199-p378905,0.8984,"[532.86, 382.52, 631.2, 529.98]",0.9432
i3798-gt,3798,0,mar20-airport-proxy-018,aircraft,aircraft,15,"[596.0, 71.0, 657.0, 122.0]",51.0,small,m3-f0-i3798-p368407,0.8965,"[597.97, 71.3, 655.15, 120.89]",0.9113
i4160-gt,4160,2,mar20-airport-proxy-013,aircraft,aircraft,18,"[465.0, 349.0, 517.0, 390.0]",41.0,small,m3-f2-i4160-p372318,0.896,"[464.65, 352.74, 515.29, 392.06]",0.8332
i3658-gt,3658,1,mar20-airport-proxy-035,aircraft,aircraft,8,"[102.0, 340.0, 164.0, 385.0]",45.0,small,m3-f1-i3658-p403203,0.8955,"[102.66, 339.34, 163.55, 382.53]",0.9151
i3543-gt,3543,2,mar20-airport-proxy-040,aircraft,aircraft,4,"[587.0, 306.0, 641.0, 349.0]",43.0,small,m3-f2-i3543-p344409,0.895,"[586.55, 307.04, 640.8, 349.6]",0.951
i2934-gt,2934,0,mar20-airport-proxy-036,aircraft,aircraft,16,"[120.0, 491.0, 210.0, 558.0]",67.0,small,m3-f0-i2934-p276910,0.895,"[124.78, 503.2, 201.2, 557.74]",0.6912
i3472-gt,3472,2,mar20-airport-proxy-023,aircraft,aircraft,17,"[72.0, 466.0, 138.0, 545.0]",66.0,small,m3-f2-i3472-p337806,0.8945,"[77.07, 479.89, 137.81, 540.31]",0.7039
i1550-gt,1550,1,mar20-airport-proxy-034,aircraft,aircraft,16,"[324.0, 720.0, 433.0, 800.0]",80.0,small,m3-f1-i1550-p160803,0.894,"[327.98, 721.58, 436.08, 799.51]",0.9134
i1786-gt,1786,1,mar20-airport-proxy-057,aircraft,aircraft,19,"[46.0, 288.0, 135.0, 354.0]",66.0,small,m3-f1-i1786-p185704,0.894,"[37.6, 286.28, 131.64, 357.08]",0.8215
i3170-gt,3170,0,mar20-airport-proxy-036,aircraft,aircraft,8,"[551.0, 296.0, 613.0, 378.0]",62.0,small,m3-f0-i3170-p296708,0.8936,"[556.7, 300.29, 604.24, 373.14]",0.6811
i3524-gt,3524,0,mar20-airport-proxy-048,aircraft,aircraft,7,"[230.0, 496.0, 343.0, 607.0]",111.0,medium,m3-f0-i3524-p328501,0.8916,"[228.66, 491.8, 348.68, 608.2]",0.8978
i2925-gt,2925,2,mar20-airport-proxy-051,aircraft,aircraft,19,"[231.0, 451.0, 315.0, 561.0]",84.0,small,m3-f2-i2925-p280505,0.8916,"[229.08, 456.69, 315.45, 560.5]",0.9192
i2637-gt,2637,2,mar20-airport-proxy-051,aircraft,aircraft,19,"[550.0, 402.0, 689.0, 485.0]",83.0,small,m3-f2-i2637-p258308,0.8906,"[554.2, 401.2, 680.96, 488.65]",0.8694
i1454-gt,1454,1,mar20-airport-proxy-002,aircraft,aircraft,13,"[135.0, 674.0, 242.0, 776.0]",102.0,medium,m3-f1-i1454-p150902,0.8906,"[136.96, 676.56, 245.65, 775.0]",0.9171
i3472-gt,3472,2,mar20-airport-proxy-023,aircraft,aircraft,14,"[71.0, 196.0, 137.0, 275.0]",66.0,small,m3-f2-i3472-p337807,0.8882,"[72.58, 204.74, 138.39, 271.77]",0.8136
i1709-gt,1709,2,mar20-airport-proxy-005,aircraft,aircraft,19,"[283.0, 277.0, 403.0, 372.0]",95.0,small,m3-f2-i1709-p168903,0.8882,"[283.2, 273.41, 428.12, 366.04]",0.7535
i3960-gt,3960,1,mar20-airport-proxy-034,aircraft,aircraft,8,"[315.0, 358.0, 394.0, 411.0]",53.0,small,m3-f1-i3960-p420917,0.8877,"[315.61, 359.87, 393.2, 401.74]",0.7758
i2261-gt,2261,2,mar20-airport-proxy-023,aircraft,aircraft,14,"[454.0, 572.0, 552.0, 654.0]",82.0,small,m3-f2-i2261-p220203,0.8872,"[460.86, 571.83, 546.95, 656.3]",0.8557
i1792-gt,1792,0,mar20-airport-proxy-036,aircraft,aircraft,8,"[547.0, 55.0, 614.0, 115.0]",60.0,small,m3-f0-i1792-p176716,0.8872,"[546.56, 66.08, 609.69, 112.83]",0.7254
i1386-gt,1386,2,mar20-airport-proxy-040,aircraft,aircraft,22,"[521.0, 447.0, 638.0, 523.0]",76.0,small,m3-f2-i1386-p135306,0.8862,"[520.07, 445.78, 633.84, 524.54]",0.9244
i3694-gt,3694,1,mar20-airport-proxy-016,aircraft,aircraft,15,"[220.0, 1.0, 291.0, 58.0]",57.0,small,m3-f1-i3694-p406810,0.8853,"[218.43, 0.59, 285.08, 58.15]",0.8887
i2159-gt,2159,1,mar20-airport-proxy-020,aircraft,aircraft,15,"[480.0, 477.0, 583.0, 545.0]",68.0,small,m3-f1-i2159-p230100,0.8853,"[475.68, 479.09, 589.41, 545.93]",0.8684
i3860-gt,3860,0,mar20-airport-proxy-036,aircraft,aircraft,18,"[499.0, 161.0, 548.0, 205.0]",44.0,small,m3-f0-i3860-p381906,0.8838,"[502.4, 160.14, 549.94, 204.9]",0.8771
i3881-gt,3881,2,mar20-airport-proxy-040,aircraft,aircraft,22,"[17.0, 220.0, 132.0, 413.0]",115.0,medium,m3-f2-i3881-p365101,0.8828,"[13.3, 235.44, 132.04, 394.93]",0.8048
i3472-gt,3472,2,mar20-airport-proxy-023,aircraft,aircraft,17,"[1.0, 465.0, 37.0, 543.0]",36.0,small,m3-f2-i3472-p337808,0.8828,"[0.04, 474.08, 36.97, 536.79]",0.7865
i3170-gt,3170,0,mar20-airport-proxy-036,aircraft,aircraft,8,"[426.0, 285.0, 487.0, 369.0]",61.0,small,m3-f0-i3170-p296711,0.8828,"[434.91, 288.21, 482.28, 368.04]",0.7379
i3073-gt,3073,0,mar20-airport-proxy-036,aircraft,aircraft,16,"[304.0, 597.0, 397.0, 737.0]",93.0,small,m3-f0-i3073-p290101,0.8818,"[303.66, 604.54, 398.68, 737.65]",0.9228
i3920-gt,3920,0,mar20-airport-proxy-045,aircraft,aircraft,5,"[663.0, 252.0, 725.0, 318.0]",62.0,small,m3-f0-i3920-p391201,0.8818,"[661.69, 253.17, 723.33, 315.42]",0.8998
i3754-gt,3754,0,mar20-airport-proxy-018,aircraft,aircraft,20,"[43.0, 486.0, 94.0, 542.0]",51.0,small,m3-f0-i3754-p357608,0.8809,"[45.13, 486.79, 94.71, 538.99]",0.8817
i3364-gt,3364,1,mar20-airport-proxy-011,aircraft,aircraft,4,"[314.0, 77.0, 368.0, 148.0]",54.0,small,m3-f1-i3364-p369007,0.8809,"[311.52, 77.71, 369.73, 153.74]",0.8504
i2941-gt,2941,2,mar20-airport-proxy-015,aircraft,aircraft,22,"[45.0, 351.0, 170.0, 406.0]",55.0,small,m3-f2-i2941-p282300,0.8809,"[44.43, 345.8, 168.85, 414.75]",0.7883
i3920-gt,3920,0,mar20-airport-proxy-045,aircraft,aircraft,5,"[593.0, 321.0, 658.0, 382.0]",61.0,small,m3-f0-i3920-p391202,0.8804,"[591.86, 322.22, 654.18, 384.46]",0.8737
i3495-gt,3495,1,mar20-airport-proxy-043,aircraft,aircraft,23,"[450.0, 264.0, 503.0, 301.0]",37.0,small,m3-f1-i3495-p382203,0.8789,"[446.85, 264.16, 505.49, 302.25]",0.8709
i1902-gt,1902,1,mar20-airport-proxy-042,aircraft,aircraft,22,"[259.0, 479.0, 322.0, 572.0]",63.0,small,m3-f1-i1902-p197708,0.8789,"[260.23, 479.32, 321.8, 567.55]",0.9272
i3490-gt,3490,0,mar20-airport-proxy-041,aircraft,aircraft,20,"[387.0, 279.0, 491.0, 384.0]",104.0,medium,m3-f0-i3490-p324901,0.8779,"[389.26, 280.52, 484.96, 380.42]",0.8755
i3754-gt,3754,0,mar20-airport-proxy-018,aircraft,aircraft,20,"[725.0, 535.0, 779.0, 588.0]",53.0,small,m3-f0-i3754-p357609,0.877,"[727.05, 534.4, 773.73, 586.69]",0.835
i4160-gt,4160,2,mar20-airport-proxy-013,aircraft,aircraft,18,"[639.0, 133.0, 680.0, 187.0]",41.0,small,m3-f2-i4160-p372319,0.8765,"[638.07, 134.61, 678.45, 185.72]",0.8916
i4016-gt,4016,1,mar20-airport-proxy-010,aircraft,aircraft,5,"[118.0, 348.0, 165.0, 397.0]",47.0,small,m3-f1-i4016-p434405,0.8755,"[113.28, 340.08, 160.54, 397.89]",0.7065
i4349-gt,4349,1,mar20-airport-proxy-016,aircraft,aircraft,15,"[485.0, 624.0, 592.0, 712.0]",88.0,small,m3-f1-i4349-p473706,0.875,"[489.5, 625.07, 579.25, 710.86]",0.8177
i1382-gt,1382,0,mar20-airport-proxy-036,aircraft,aircraft,8,"[378.0, 322.0, 475.0, 390.0]",68.0,small,m3-f0-i1382-p135905,0.874,"[383.94, 323.97, 474.66, 390.87]",0.8974
i2925-gt,2925,2,mar20-airport-proxy-051,aircraft,aircraft,19,"[305.0, 508.0, 399.0, 619.0]",94.0,small,m3-f2-i2925-p280507,0.8735,"[301.66, 515.97, 393.65, 619.97]",0.8405
i3779-gt,3779,0,mar20-airport-proxy-018,aircraft,aircraft,9,"[425.0, 653.0, 522.0, 748.0]",95.0,small,m3-f0-i3779-p363904,0.8726,"[429.1, 649.85, 520.12, 747.8]",0.9081
i3960-gt,3960,1,mar20-airport-proxy-034,aircraft,aircraft,8,"[34.0, 45.0, 109.0, 92.0]",47.0,small,m3-f1-i3960-p420918,0.8726,"[34.93, 38.41, 104.79, 82.27]",0.6533
i3258-gt,3258,2,mar20-airport-proxy-040,aircraft,aircraft,22,"[410.0, 406.0, 509.0, 474.0]",68.0,small,m3-f2-i3258-p313203,0.8721,"[410.67, 407.52, 506.52, 479.98]",0.8723
i3455-gt,3455,2,mar20-airport-proxy-023,aircraft,aircraft,14,"[195.0, 291.0, 314.0, 410.0]",119.0,medium,m3-f2-i3455-p336002,0.8716,"[196.29, 296.42, 310.83, 414.42]",0.8869
i3381-gt,3381,2,mar20-airport-proxy-051,aircraft,aircraft,16,"[269.0, 404.0, 452.0, 689.0]",183.0,medium,m3-f2-i3381-p326701,0.8706,"[269.38, 415.92, 457.18, 692.68]",0.9191
i3779-gt,3779,0,mar20-airport-proxy-018,aircraft,aircraft,9,"[154.0, 650.0, 247.0, 745.0]",93.0,small,m3-f0-i3779-p363905,0.8696,"[155.62, 647.31, 244.78, 743.31]",0.9168
i1651-gt,1651,2,mar20-airport-proxy-021,aircraft,aircraft,20,"[274.0, 486.0, 386.0, 592.0]",106.0,medium,m3-f2-i1651-p162903,0.8696,"[274.22, 484.23, 388.28, 592.33]",0.9591
i2724-gt,2724,1,mar20-airport-proxy-012,aircraft,aircraft,18,"[488.0, 520.0, 610.0, 634.0]",114.0,medium,m3-f1-i2724-p294600,0.8687,"[487.11, 523.78, 608.2, 634.81]",0.9393
i3483-gt,3483,2,mar20-airport-proxy-023,aircraft,aircraft,17,"[112.0, 246.0, 169.0, 301.0]",55.0,small,m3-f2-i3483-p339007,0.8687,"[117.72, 253.0, 161.77, 295.87]",0.6025
i1487-gt,1487,2,mar20-airport-proxy-009,aircraft,aircraft,10,"[55.0, 271.0, 121.0, 343.0]",66.0,small,m3-f2-i1487-p144602,0.8687,"[51.9, 266.94, 123.5, 344.96]",0.8508
i3759-gt,3759,1,mar20-airport-proxy-016,aircraft,aircraft,15,"[166.0, 535.0, 223.0, 595.0]",57.0,small,m3-f1-i3759-p409510,0.8667,"[164.79, 536.06, 221.34, 593.63]",0.913
i2605-gt,2605,2,mar20-airport-proxy-005,aircraft,aircraft,11,"[142.0, 3.0, 356.0, 248.0]",214.0,medium,m3-f2-i2605-p254101,0.8657,"[134.86, 0.0, 354.59, 247.66]",0.9485
i2925-gt,2925,2,mar20-airport-proxy-051,aircraft,aircraft,19,"[633.0, 455.0, 718.0, 561.0]",85.0,small,m3-f2-i2925-p280508,0.8638,"[629.86, 453.61, 717.8, 559.67]",0.9381
i1790-gt,1790,1,mar20-airport-proxy-035,aircraft,aircraft,8,"[593.0, 197.0, 673.0, 293.0]",80.0,small,m3-f1-i1790-p186006,0.8633,"[598.44, 199.07, 675.0, 294.68]",0.8758
i3660-gt,3660,2,mar20-airport-proxy-056,aircraft,aircraft,8,"[298.0, 342.0, 379.0, 441.0]",81.0,small,m3-f2-i3660-p353102,0.8623,"[284.96, 324.46, 386.91, 450.93]",0.6219
i4295-gt,4295,0,mar20-airport-proxy-047,aircraft,aircraft,13,"[289.0, 252.0, 412.0, 352.0]",100.0,medium,m3-f0-i4295-p429600,0.8579,"[289.99, 245.75, 414.31, 358.54]",0.864
i4030-gt,4030,1,mar20-airport-proxy-010,aircraft,aircraft,7,"[353.0, 48.0, 445.0, 139.0]",91.0,small,m3-f1-i4030-p438605,0.8574,"[350.82, 43.13, 447.12, 140.43]",0.8935
i2262-gt,2262,0,mar20-airport-proxy-018,aircraft,aircraft,9,"[106.0, 647.0, 184.0, 728.0]",78.0,small,m3-f0-i2262-p216606,0.8569,"[105.22, 647.22, 184.81, 729.35]",0.9615
i1709-gt,1709,2,mar20-airport-proxy-005,aircraft,aircraft,19,"[265.0, 365.0, 397.0, 450.0]",85.0,small,m3-f2-i1709-p168904,0.8569,"[276.37, 358.62, 400.2, 449.98]",0.8346
i1997-gt,1997,0,mar20-airport-proxy-018,aircraft,aircraft,9,"[272.0, 381.0, 348.0, 454.0]",73.0,small,m3-f0-i1997-p193801,0.8555,"[267.5, 375.12, 351.25, 466.28]",0.7268
